CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
15005,46,11,1,1.0,58.0,79.8167572021484,11.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,1
15005,46,11,2,2.0,51.0,79.8167572021484,11.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,1
15005,46,11,3,1.0,26.0,79.8167572021484,9.0,1,1,0.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,1
15005,46,11,4,1.0,19.0,79.8167572021484,9.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,153934.953125,146418.34375,4,3,38483.73828125,1
15005,57,11,1,1.0,62.0,79.8167572021484,5.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,1
15005,57,11,2,2.0,54.0,79.8167572021484,1.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,1
15005,57,11,3,1.0,32.0,79.8167572021484,10.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,1
15005,57,11,4,1.0,12.0,79.8167572021484,4.0,0,0,,,,0,0,,10101,4,4,1,1,87828.1796875,40525.03515625,4,3,21957.044921875,1
15005,69,11,1,2.0,39.0,79.8167572021484,11.0,0,1,1.0,0.0,1.0,1,1,1.0,10101,4,4,0,1,138688.0,40699.83203125,1,3,138688.0,1
15005,90,11,1,2.0,82.0,79.8167572021484,8.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,1
15005,90,11,2,2.0,80.0,79.8167572021484,4.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,1
15005,90,11,3,1.0,69.0,79.8167572021484,11.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,1
15005,90,11,4,1.0,16.0,79.8167572021484,6.0,0,0,0.0,0.0,0.0,0,0,0.0,10101,4,4,1,1,92536.53125,65454.39453125,4,3,23134.1328125,1
15005,101,11,1,2.0,61.0,79.8167572021484,4.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,45588.25,39256.8359375,2,3,22794.125,1
15005,101,11,2,1.0,36.0,79.8167572021484,11.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,45588.25,39256.8359375,2,3,22794.125,1
